uniprot	fullName	uniProtkbId	pdb_ids
O00161	Synaptosomal-associated protein 23	SNP23_HUMAN	1NHL_1;3ZUS_1
O00206	Toll-like receptor 4	TLR4_HUMAN	2Z62_1;2Z63_1;2Z65_1;2Z66_1;3FXI_1;3UL7_1;3UL8_1;3UL9_1;3ULA_1;4G8A_1
O00241	Signal-regulatory protein beta-1	SIRB1_HUMAN	2D9C_1;2JJU_1
O00560	Syntenin-1	SDCB1_HUMAN	1N99_1;1NTE_1;1OBX_1;1OBY_1;1OBZ_1;1R6J_1;1V1T_1;1W9E_1;1W9O_1;1W9Q_1
O00571	ATP-dependent RNA helicase DDX3X	DDX3X_HUMAN	2I4I_1;2JGN_1;3JRV_2;4O2C_3;4O2E_3;4O2F_3;4PX9_1;4PXA_1;5E7I_1;5E7J_1
O00602	Ficolin-1	FCN1_HUMAN	2D39_1;2JHH_1;2JHI_1;2JHK_1;2JHL_1;2JHM_1;2WNP_1
O14672	Disintegrin and metalloproteinase domain-containing protein 10	ADA10_HUMAN	6BDZ_3;6BE6_1;8ESV_1
O14788	Tumor necrosis factor ligand superfamily member 11	TNF11_HUMAN	3URF_1;5BNQ_1
O15230	Laminin subunit alpha-5	LAMA5_HUMAN	5XAU_1;7CEC_3
O15357	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	SHIP2_HUMAN	2K4P_1;2KSO_2;2MK2_1;3NR8_1;4A9C_1;5OKM_1;5OKN_1;5OKO_1;5OKP_1;6SQU_1
O43318	Mitogen-activated protein kinase kinase kinase 7	M3K7_HUMAN	2EVA_1;2YIY_1;4GS6_1;4L3P_1;4L52_1;4L53_1;4O91_1;5E7R_1;5GJD_1;5GJF_1
O43353	Receptor-interacting serine/threonine-protein kinase 2	RIPK2_HUMAN	2N7Z_1;2N83_2;4C8B_1;5AR2_1;5AR3_1;5AR4_1;5AR5_1;5AR7_1;5AR8_1;5J79_1
O43451	Maltase-glucoamylase	MGA_HUMAN	2QLY_1;2QMJ_1;3CTT_1;3L4T_1;3L4U_1;3L4V_1;3L4W_1;3L4X_1;3L4Y_1;3L4Z_1
O43508	Tumor necrosis factor ligand superfamily member 12	TNF12_HUMAN	4HT1_1
O43557	Tumor necrosis factor ligand superfamily member 14	TNF14_HUMAN	4EN0_1;4J6G_1;4KG8_1;4KGG_2;4KGQ_2;4RSU_1;7MSG_1
O43914	TYRO protein tyrosine kinase-binding protein	TYOBP_HUMAN	2L34_1;2L35_1;2L35_2;4WO1_1;4WOL_1;7Q5W_2
O60602	Toll-like receptor 5	TLR5_HUMAN	3J0A_1;8AR2_1
O60610	Protein diaphanous homolog 1	DIAP1_HUMAN	8FG1_1;8FG1_2
O94759	Transient receptor potential cation channel subfamily M member 2	TRPM2_HUMAN	6MIX_1;6MIZ_1;6MJ2_1;6PUO_1;6PUR_1;6PUS_1;6PUU_1;7VQ1_1;7VQ2_1;8E6Q_1
O94804	Serine/threonine-protein kinase 10	STK10_HUMAN	2J7T_1;4AOT_1;4BC6_1;4EQU_1;4USD_1;4USE_1;5AJQ_1;5OWQ_1;5OWR_1;6EIM_1
O94856	Neurofascin	NFASC_HUMAN	3P3Y_1;3P40_1
O94886	CSC1-like protein 1	CSCL1_HUMAN	8EHW_1;8GRS_1;8WUA_1
O95210	Starch-binding domain-containing protein 1	STBD1_HUMAN	8X8A_2;8X8K_1
O95256	Interleukin-18 receptor accessory protein	I18RA_HUMAN	3WO4_3;6KN9_1;7FCH_1
O95497	Pantetheinase	VNN1_HUMAN	4CYF_1;4CYG_1;4CYY_1;7SLV_1;7SLX_1;7SLY_1;9IZL_1
O95711	Lymphocyte antigen 86	LY86_HUMAN	3B2D_2
O95716	Ras-related protein Rab-3D	RAB3D_HUMAN	2GF9_1
P00734	Prothrombin	THRB_HUMAN	1A2C_1;1A2C_2;1A3B_1;1A3B_2;1A3E_1;1A3E_2;1A46_1;1A46_2;1A4W_1;1A4W_2
P01009	Alpha-1-antitrypsin	A1AT_HUMAN	1ATU_1;1D5S_1;1D5S_2;1EZX_1;1EZX_2;1HP7_1;1IZ2_1;1KCT_1;1OO8_1;1OPH_1
P01111	GTPase NRas	RASN_HUMAN	2N9C_1;3CON_1;5UHV_1;6E6H_1;6MPP_2;6ULI_3;6ULK_3;6ULN_3;6ULR_3;6UON_5
P01137	Transforming growth factor beta-1 proprotein	TGFB1_HUMAN	1KLA_1;1KLC_1;1KLD_1;3KFD_1;4KV5_1;5FFO_3;5VQP_1;6GFF_1;6GFF_2;6OM2_3
P01375	Tumor necrosis factor	TNFA_HUMAN	1A8M_1;1TNF_1;2AZ5_1;2E7A_1;2TUN_1;2ZJC_1;2ZPX_1;3ALQ_1;3IT8_1;3L9J_2
P01584	Interleukin-1 beta	IL1B_HUMAN	1HIB_1;1I1B_1;1IOB_1;1ITB_1;1L2H_1;1S0L_1;1T4Q_1;1TOO_1;1TP0_1;1TWE_1
P01730	T-cell surface glycoprotein CD4	CD4_HUMAN	1CDH_1;1CDI_1;1CDJ_1;1CDU_1;1CDY_1;1G9M_2;1G9N_2;1GC1_2;1JL4_4;1Q68_1
P02748	Complement component C9	CO9_HUMAN	5FMW_1;6DLW_1;6H03_7;6H04_1;7NYC_4;7NYD_3;8B0G_6;8B0H_8;8DE6_3
P02751	Fibronectin	FINC_HUMAN	1E88_1;1E8B_1;1FBR_1;1FNA_1;1FNF_1;1FNH_1;1J8K_1;1O9A_1;1OWW_1;1Q38_1
P03956	Interstitial collagenase	MMP1_HUMAN	1AYK_1;1CGE_1;1CGF_1;1CGL_1;1HFC_1;1SU3_1;2AYK_1;2CLT_1;2J0T_1;2TCL_1
P04004	Vitronectin	VTNC_HUMAN	1OC0_2;1S4G_1;1SSU_1;2JQ8_1;3BT1_2;3BT2_2;4K24_2;6O5E_1;7RJ9_1
P04049	RAF proto-oncogene serine/threonine-protein kinase	RAF1_HUMAN	1C1Y_2;1FAQ_1;1FAR_1;1GUA_2;1RFA_1;3CU8_2;3IQJ_2;3IQU_2;3IQV_2;3KUC_2
P04083	Annexin A1	ANXA1_HUMAN	1AIN_1;1BO9_1;1QLS_2;5VFW_1
P04264	Keratin, type II cytoskeletal 1	K2C1_HUMAN	4ZRY_2;6E2J_1;6UUI_1
P04839	Cytochrome b-245 heavy chain	CY24B_HUMAN	3A1F_1;7U8G_1;8GZ3_2;8KEI_2;8WEJ_2;8X2L_2
P05067	Amyloid-beta precursor protein	A4_HUMAN	1AAP_1;1AMB_1;1AMC_1;1AML_1;1BA4_1;1BA6_1;1BJB_1;1BJC_1;1BRC_2;1CA0_4
P05107	Integrin beta-2	ITB2_HUMAN	1L3Y_1;1YUK_1;1YUK_2;2JF1_2;2P26_1;2P28_1;2P28_2;2V7D_2;3K6S_2;3K71_2
P05109	Protein S100-A8	S10A8_HUMAN	1MR8_1;1XK4_1;4GGF_1;4XJK_1;5HLO_1;5HLV_1;5W1F_1;6DS2_1;7QUV_2;8SJB_1
P05120	Plasminogen activator inhibitor 2	PAI2_HUMAN	1BY7_1;1JRR_1;1JRR_2;2ARQ_1;2ARQ_2;2ARR_1;2ARR_2
P05156	Complement factor I	CFAI_HUMAN	2XRC_1;5O32_4;5O32_5
P05556	Integrin beta-1	ITB1_HUMAN	3G9W_2;3T9K_1;3VI3_2;3VI4_2;4DX9_2;4WJK_2;4WK0_2;4WK2_2;4WK4_2;7CEB_2
P06239	Tyrosine-protein kinase Lck	LCK_HUMAN	1BHF_1;1BHH_1;1BHH_2;1CWD_1;1CWE_1;1FBZ_1;1H92_1;1IJR_1;1KIK_1;1LCJ_1
P06241	Tyrosine-protein kinase Fyn	FYN_HUMAN	1A0N_2;1AOT_1;1AOU_1;1AVZ_2;1AZG_2;1EFN_1;1FYN_1;1G83_1;1M27_3;1NYF_1
P06702	Protein S100-A9	S10A9_HUMAN	1IRJ_1;1XK4_2;4GGF_2;4XJK_2;5I8N_1;5W1F_2;6DS2_2;7QUV_1;7UI5_1;8SJB_2
P06756	Integrin alpha-V	ITAV_HUMAN	1JV2_1;1L5G_1;1M1X_1;1U8C_1;3IJE_1;4G1E_1;4G1M_1;4MMX_1;4MMY_1;4MMZ_1
P07237	Protein disulfide-isomerase	PDIA1_HUMAN	1BJX_1;1MEK_1;1X5C_1;2BJX_1;2K18_1;3BJ5_1;3UEM_1;4EKZ_1;4EL1_1;4JU5_1
P07333	Macrophage colony-stimulating factor 1 receptor	CSF1R_HUMAN	2I0V_1;2I0Y_1;2I1M_1;2OGV_1;3BEA_1;3DPK_1;3KRJ_1;3KRL_1;3LCD_1;3LCO_1
P07339	Cathepsin D	CATD_HUMAN	1LYA_1;1LYA_2;1LYB_1;1LYB_2;1LYW_1;1LYW_2;4OBZ_1;4OBZ_2;4OC6_1;4OC6_2
P07355	Annexin A2	ANXA2_HUMAN	1W7B_1;1XJL_1;2HYU_1;2HYV_1;2HYW_1;4DRW_1;4FTG_2;4HRH_1;5LPU_1;5LPX_1
P07357	Complement component C8 alpha chain	CO8A_HUMAN	2QOS_2;2QQH_1;2RD7_1;3OJY_1;6H03_5;6H04_6;7NYC_3;7NYD_2;8B0F_5;8B0G_4
P07384	Calpain-1 catalytic subunit	CAN1_HUMAN	1ZCM_1;2ARY_1;7W7O_1;7X79_1;8GX3_1
P07478	Trypsin-2	TRY2_HUMAN	7Z9F_1;7Z9F_2
P07711	Procathepsin L	CATL1_HUMAN	1CJL_1;1CS8_1;1ICF_1;1ICF_2;1MHW_1;1MHW_2;2NQD_2;2VHS_1;2XU1_1;2XU3_1
P07858	Cathepsin B	CATB_HUMAN	1CSB_1;1CSB_2;1GMY_1;1HUC_1;1HUC_2;1PBH_1;2IPP_1;2IPP_2;2PBH_1;3AI8_1
P07900	Heat shock protein HSP 90-alpha	HS90A_HUMAN	1BYQ_1;1OSF_1;1UY6_1;1UY7_1;1UY8_1;1UY9_1;1UYC_1;1UYD_1;1UYE_1;1UYF_1
P07947	Tyrosine-protein kinase Yes	YES_HUMAN	2HDA_1
P07948	Tyrosine-protein kinase Lyn	LYN_HUMAN	1W1F_1;1WA7_1;3A4O_1;5XY1_1;6NMW_1;8WFF_1
P08123	Collagen alpha-2(I) chain	CO1A2_HUMAN	5CTD_2;5CTI_2;5CVA_1;6JEC_1
